id	tok	eng	cmn
41850	pona la jan Ton li pakala e ale ala.	Thankfully, Tom didn't break everything.	
41851	jaki!	Ugh!	
41852	pilin sina li suli tawa mi mute.		您的意見對我們很重要。
41853	mi pana e mani kepeken lipu mani.	I'll pay by credit card.	
41854	jan Ton li kama moli, la mi pilin ike a.	I'll certainly be sad if Tom dies.	
41855	sina mije lili pi ona mije anu seme?	Are you his son?	
41856	mi wile kama sona e toki Kanse.	We need to learn French.	
41857	ona li jo e kasi kule lon lupa ona.	She has a flower in her hand.	
41858	mi jo e mani mute. sina jo e mani lili.	I have more money than you.	
41859	ona meli li toki e ali tawa ona mije.	She told him everything.	
41860	jan mute li kama moli.	Many people died.	
41861	sina kute ala tan seme?	Why weren't you listening?	
41862	jan Sami li lon ma tomo Pata.	Sami lives in Baghdad.	
41863	jan Ton en jan Mewi li jo ala jo e soweli tomo?	Do Tom and Mary have any pets?	
41864	mi mute li ken tawa.	We're ready to go.	
41865	mi toki lon toki Potuke.	I speak Portuguese.	
41866	mi jan pona pi jan Ton.	I am a friend of Tom's.	
41867	mi toki lon toki Kanse lon toki Inli.	I speak French and English.	
41868	jan Ton li sona ala sona e ni: sina olin e jan Mewi?	Does Tom know you love Mary?	
41869	jan Ton li jan pi sona lukin anu seme?	Tom is an ophthalmologist, isn't he?	
41870	jan Ton li jan pi sike suno mute.	Tom is a senior.	
41871	mi mute li awen.	We're waiting.	
41872	jan Ton li mije pi jan Mewi anu seme?	Is Tom married to Mary?	
41873	sina wawa ala.	You're weak.	
41874	mi pona e supa.	I'm fixing the chair.	
41875	nimi sina li pona ala pona tawa sina?	Do you like your name?	
41876	ni li laso ala anu seme?	Isn't that blue?	
41877	ni li laso ala anu seme?	Isn't this blue?	
41878	sina pilin e ni anu seme: ni li ona?	Do you think that's him?	
41879	ni li laso ala anu seme?	Isn't that blue?	
41880	ni li laso ala anu seme?	Isn't this blue?	
41881	sina wile la sina ken awen lon ni.	If you want, you can remain here.	
41882	linja lawa ona li pimeja.	He has black hair.	
41883	tenpo wan la sina o lukin pali e ni.	You should try doing that.	
41884	tan seme la sina tawa kepeken tenpo lili a?	Why are you walking so quickly?	
41885	jan li wile lawa e tomo tawa la ona li wile e lipu wawa.	If you want to drive a car, you'll need a driving licence.	
41886	kulupu mama sina li ike tawa mi.	I don't like your family.	
41887	moku li ike mute.	The food is very bad.	
41888	sina wile ala wile e lipu?	Do you need the book?	
41889	kulupu ni li utala e jan ale ni: ona li pilin ante.	This group is against everybody who has a different opinion.	
41890	nena suli li sewi.	The mountains are tall.	
41891	mi mute li lon kulupu.	We live in a society.	
41892	ale o kama pakala.	Fuck everything.	
41893	ni li tomo sona mi.	This is my school.	
41894	jan Mewi li ike tawa jan Ton.	Tom doesn't like Mary.	
41895	mi mute li lon kulupu.	We live in a society.	
41896	mi mute o kama sona e tan.	Let's find out why.	
41897	jan ala li pona taso.	No man is without his faults.	
41898	tan seme la sina pana ala e ona lon tomo?	Why didn't you bring it home?	
41899	jan ala li ken lawa e ilo pi selo jan!	We have lost control of the robots!	
41900	jan Mewi li jo ala e mije.	Mary didn't have a husband.	
41901	jan Mewi li jo ala e mije.	Mary didn't have a husband.	
41902	mi wile lape tan ni: mi tawa mute kepeken noka.	I am tired from walking.	
41903	sina sina, la sina pona tawa mi.	I like you just the way you are.	
41904	jan li tawa weka mute lon nasin ni, la ona li kama lon tomo moku pi pona a.	There's a place down the road that's pretty good.	
41905	moku li lete pi mute ike.	The food's too cold.	
41906	ijo pi pona mute tawa jan Ton li nanpa ike. taso ijo pi pona mute tawa jan Mewi li unpa.	Tom's favorite pastime was solving differential expressions, while Mary preferred sex.	
41907	mi sona wawa e ni: mi pana e tomo tawa mi lon ni.	I'm sure I've parked my car here.	
41908	pona la mi tu e linja loje e linja laso ala.	Fortunately, I cut the red wire instead of the green one.	
41909	mi ken ala musi poka ona mije.	I can't play with him.	
41910	mama mije sina li soweli Kolila.	Your father is a gorilla.	
41911	sina pilin e ni anu seme: ni li ona?	You don't think that's him, do you?	
41912	tenpo ni la telo pi kon sewi li kama ala.	It's not raining at the moment.	
41913	jan Ton li wile e sina.	Tom needs you.	
41914	jan Ton li tawa weka la mi kin li tawa weka.	If Tom leaves, I'll leave, too.	
41915	sina jo ala jo e ma kasi?	Do you have a garden?	
41916	mi pona e mi lon poka ante. mi lukin e ni lon anpa suno: jan pi tawa wawa en jan pi nasin pona li kama ala nanpa wan lon utala. jan sona li kama ala jo e pan e mani e pona tan sewi tan ni: tenpo en sewi li lawa e ona ale.	I returned, and saw under the sun, that the race is not to the swift, nor the battle to the strong, neither yet bread to the wise, nor yet riches to men of understanding, nor yet favor to men of skill; but time and chance happen to them all.	
41917	mi tan ma Elena.	I'm from Greece.	
41918	mi mute li sona ala e toki Inli.	We don't understand English.	
41919	mi wile e ni: ona li kama meli mi.	I've chosen her to be my wife.	
41920	jan lawa pi jan Ton li toki ike tawa ona.	Tom got yelled at by his boss.	
41921	sina wile pali lon ni tan seme?	Why do you want to work here?	
41922	pan sike li lon nasin.	Pizza is on the way.	
41923	sina jan ni: ona li pilin e ni: mama sewi li lon ala anu seme?	Are you an atheist?	
41924	jan li moku e kon seli la ni li ken pakala e mute anu seme?	How bad is smoking?	
41925	mi ken ala ken lukin e lipu moku?	May I see the menu, please?	
41926	tenpo ni la mi sona e ona.	I know now.	
41927	jan li toki e ijo tawa mi, la mi pali e ona.	I do what I'm told to do.	
41928	jan lawa pi soweli tawa li jo e ilo utala lon luka ona.	In the rider's hand was a saber.	
41929	mi wile ala e jan Ton.	I don't need Tom.	
41930	moku pi insa pi tenpo suno li open ala open?	Is lunch ready?	
41931	tan seme la seli sewi li suno. tan seme la kalama sewi li kalama?	Why does lightning flash and thunder rumble?	
41932	pilin mi la mi ken kama sona e ni: seme li kama.	I think that I have the right to know what happened.	
41933	mi wile ala moku e suwi lete.	I didn't want to eat ice cream.	
41934	mi jo kin e tenpo ala.	I really didn't have time.	
41935	o kama pona tawa mi mute.	Welcome to our place.	
41936	tan seme la sina toki lon ala tan tenpo suli sina?	Why did you lie about your age?	
41937	tan seme la sina toki lon ala tan tenpo suli sina?	Why did you lie about your age?	
41938	ona li sona ala e ni: nasin seme la ona li wile pali e ni.	He doesn't know how he's supposed to do that.	
41939	nasin seme la sina pana e pona tawa ona?	How are you helping him?	
41940	jan Ton li lawa anu seme?	Is Tom in charge?	
41941	mi wile jo e ilo lukin pi ijo lili.	I want a microscope.	
41942	jan Ton li toki suli e ni: ona li lukin ala e jan Mali lon tenpo suno ale.	Tom swore that he hadn't seen Mary all day.	
41943	jan Ton li toki suli e ni: ona li lukin ala e jan Mali lon tenpo suno ale.	Tom swore that he hadn't seen Mary all day.	
41944	mi ken lili tawa.	I could barely move.	
41945	mi ken lili tawa.	I could barely move.	
41946	tomo pi jan Ton li lon anpa tan tomo pi jan Mali.	Tom lives in the apartment below Mary.	
41947	mi wile e ni: sina awen.	I want you to wait.	
41948	jan Ton li lawa pi pona mute e tomo tawa. jan Mali li lawa pi pona taso e tomo tawa.	Tom is a much better driver than Mary is.	
41949	ona meli li toki e wile sona ni: nasin seme la ona meli li kama lon tomo pi tomo tawa linja.	She asked her how to get to the station.	
41950	ona meli li wile sona e ni tan ona mije: nasin seme la ona meli li kama tawa tomo awen pi ilo tawa.	She asked him how to get to the station.	
41951	o pana e lipu tawa ona.	Give him the books.	
41952	telo sewi li kama lon lupa suno ona.	The rain clattered against the window.	
41953	jan Ton li pana e sitelen pi jan Mewi lon sinpin pi poki lete.	Tom hung Mary's drawing on the refrigerator.	
41954	tenpo ni la ona li noka musi.	He's out for a walk.	
41955	mi jo e ilo toki, taso mi kepeken ala ona lon tenpo mute.	I have a phone, but I don't use it much.	
41956	mije Wason o, sina lukin ala lukin e lipu pi ijo sin, pi open pi tenpo suno?	Have you seen the morning paper, Watson?	
41957	sina ken awen jo e tomo.	You can keep the house.	
41958	sina mute li ken awen jo e tomo.	You can keep the house.	
41959	sina ken awen jo e tomo.	They can keep the house.	
41960	jan seme li ken sona e ni: seme li kama?	Who knows what's going to happen?	
41961	o ken ala e ni: mi wan taso lon poka pi ona mije.	Please don't leave me alone with him.	
41962	o ken ala e ni: mi pi wan taso li lon poka pi ona mije.	Please don't leave me alone with him.	
41963	jan Ton li ken ala tawa e noka ona.	Tom couldn't move his legs.	
41964	mi pali e ni lon tenpo ante.	I will do it some other time.	
41965	sina sona kin e ni: mi seli e moku la ni li ike tawa mi.	You know how much I hate cooking.	
41966	mi sona mute ala e ni: mi mute li pali e pona.	I'm not sure that we're doing the right thing.	
41967	tenpo mute la jan li pilin e ni: jan Ton en jan Son li jan sama.	Tom and John are often mistaken for brothers.	
41968	o kama pakala!	Bloody hell!	
41969	o kama pakala!	Eat shit!	
41970	o kama pakala!	Go to hell!	
41971	"""sina sitelen e lipu tawa jan seme?"" - ""mi wile ala toki e ni tawa sina!"""	"""Who are you texting?"" ""That's none of your business."""	
41972	sina suwi mute.	You're very sweet.	
41973	nasin telo lili li mute li kama wan la nasin telo suli li lon.	Many small streams make a great river.	
41974	jan li ken lukin e ijo: jan Ton li pona tawa jan tan ona.	It's easy to see why people like Tom.	
41975	o lukin e ona ni.	Look at this one.	
41976	mi mute li jan ike.	We're enemies.	
41977	sina ken ala ken kalama e ilo linja pi kalama musi?	Do you know how to play the banjo?	
41978	jan Ton li wile ala open e lupa tomo.	Tom wouldn't open the door.	
41979	mi pana ala pana e mani pi mute ike tawa len lon esun?	Am I spending too much on clothes?	
41980	jan Ton li mije mi ala.	Tom isn't my husband.	
41981	jan ike pi ma Tuki anu jan pi pali moli pi ma Penesa anu ma Malasija li ken ala pakala e ona kepeken lukin pi ike mute.	No turbaned Turk, no hired Venetian or Malay, could have smote him with more seeming malice.	
41982	jan Ton li pilin ike tan ni: mama mama meli ona li kama moli.	Tom was sad when his grandmother passed away.	
41983	sina wile la sina kin li ken kama. ni li pona tawa mi.	You can come, too, if you want.	
41984	nasin ni la mi kama sona e toki Inli.	This is how I learned English.	
41985	open ala!	Occupied!	
41986	seme li lon tomo tawa sina?	What's in your car?	
41987	jan Ton li moku e seme?	What did Tom eat?	
41988	mi ken ala toki e ijo tan ni.	There's nothing to report.	
41989	mi wile ala e ni: jan Ton li pilin akesi tan mi.	I didn't mean to scare Tom.	
41990	mi wile ala e ni: jan Ton li pilin akesi tan mi.	I didn't mean to scare Tom.	
41991	sina ala lon ni la mi mute li pilin ike mute.	We're going to miss you a lot.	
41992	jan Ton li lawa e tomo loje pi tawa wawa.	Tom drives a red sports car.	
41993	mi wile kama jo sin e kulupu mama mi.	I want my family back.	
41994	mi pali e pakala.	You guys messed up.	
41995	mi pali e pakala.	You guys messed up.	
41996	sina pali pi mute ike la lawa sina li pilin pakala.	The reason that you have a headache is because you've been working too hard.	
41997	mi wile e ni: sina kepeken ala toki pi lon ala.	I wish you'd quit lying so much.	
41998	tenpo suno ni la mi pali mute.	I got a lot of work done today.	
41999	tenpo pi ale lili la jan Ton li lon tomo sitelen ona.	Tom is almost always in his office.	
42000	tenpo pimeja ni ale la mi mute li lape ale.	We stayed up all night.	
42001	tomo tawa linja sina li tawa lon nasin nanpa tu wan.	Your train leaves from Platform 3.	
42002	poki mani sina li lon supa moku.	Your wallet is on the table.	
42003	poki mani sina li lon supa moku.	Your wallet is on the table.	
42004	ilo tenpo sina li lukin e tenpo ni: tenpo mute pi tu wan li lon tenpo monsi.	Your watch is three minutes slow.	
42005	ilo tenpo sina li toki e tenpo lili tu wan pi suli ike.	Your watch is three minutes slow.	
42006	pini li ike tawa jan Ton.	Tom was dissatisfied with the result.	
42007	o sitelen e lipu toki tawa mi.	Write me a message.	
42008	o sitelen e lipu toki tawa mi.	Write me a message.	
42009	o sitelen e lipu toki tawa mi.	Write me a message.	
42010	ona li ken ala pana e ijo mute.	He hasn't got a lot to give.	
42011	mi en sina li kama jan pona pi suli mute.	We became close friends.	
42012	pali mi li selo mi.	My action is my refuge.	
42013	ona li ken ala pana e ijo mute.	He hasn't got a lot to give.	
42014	telo sewi li kama ala kama?	I wonder if it'll rain.	
42015	tenpo ni la mi ken ala lukin e ijo lon sona mi.	I don't remember anything else right now.	
42016	tenpo suno kama la ona li ike mute.	It'll be worse tomorrow.	
42017	sina kama ala sona e suli pi ijo ni.	You missed the point.	
42018	mi moku e telo nasa.	I'm going to drink a beer.	
42019	mije lili mi li jan musi. ona li sitelen kule e sitelen lukin.	My son is an artist who paints paintings.	
42020	tenpo mute la mi lukin pali e ni.	I've been practicing a long time for this.	
42021	mi tan ma Lise.	I'm from Friesland.	
42022	sina pali e seme kepeken len mi?	What did you do with my jacket?	
42023	jan lawa mi li jan pi ma Kanata.	My boss is Canadian.	
42024	mi kama sona e toki Kalike.	I'm learning Scottish Gaelic.	
42025	mi kama sona e toki Isilan.	I'm learning Icelandic.	
42026	ike pi pali mute li wile e nasin pona pi sitelen insa.	Difficult problems require imaginative solutions.	
42027	ale ni li kama lon tenpo sama.	It happened all at once.	
42028	mi pana e kulupu pi nimi mute lon toki pona tawa lipu Tatowepa.	I added a corpus of two thousand sentences in Toki Pona to Tatoeba.	
42029	mi wile ala wile open e suno?	Would you like me to turn on the light?	
42030	tenpo suli seme la sina awen lon ma tomo Pasen?	How long you will be in Boston?	
42031	tomo telo li lon sewi.	The bathroom is upstairs.	
42032	mi mije pi jan Mewi.	I'm Mary's boyfriend.	
42033	tenpo mute la jan Ton li pali e ni.	Tom often does that.	
42034	nasin seme la sina moli e pipi?	How did you kill the cockroach?	
42035	mi tan ma Lise.	I'm from Friesland.	
42036	tomo tawa sin li pana e ike lili tawa jan Ton.	Tom is having a bit of trouble with his new car.	
42037	jan Ton li pilin e ni: sewi li lon.	Tom believes in God.	
42038	sina nasa ala nasa pi telo nasa lon musi kulupu?	Were you drunk at the party?	
42039	o kute e toki mi.	Listen to what I am saying.	
42040	ilo nasa li ken pakala.	Workarounds can cause accidents.	
42041	ona li kama ala moli.	They're not going to die.	
42042	jan ali li ike tawa jan Ton.	Tom is a misanthrope.	
42043	mi mute li wile e sina la mi toki e ni tawa sina kepeken ilo toki.	I'll call if we need you.	
42044	jan Ton li pilin ala e ni: kala pi palisa lawa li lon.	Tom doesn't believe narwhals are real.	
42045	tomo tawa li tawa kepeken telo wawa.	The car runs on petrol.	
42046	sina mute li sona ala sona e ni: jan Ton li kepeken len seme?	Do you know what Tom was wearing?	
42047	mi ken ala ken toki e ijo tawa sina?	Can I tell you something?	
42048	sina lon selo la mi pilin pona.	I'm glad you're safe.	
42049	tenpo kama la ona li moli e mi.	They'll kill me.	
42050	poki lete li pini.	The refrigerator is closed.	
42051	mi wile kute e ni.	I want to hear this.	
42052	o kama ala e jan pali pi nasin lawa.	Don't call the cops.	
42053	jan Ton li tan seme?	Where's Tom from?	
42054	mi ken pali e seme?	What can I do?	
42055	monsuta li lon ala.	There is nothing to be scared of.	
42056	meli li pona tawa sina anu seme?	You like girls, don't you?	
42057	jan lili li wile e olin.	Children need love.	
42058	kiwen pi sijelo sina li seme?	How heavy are you?	
42059	jan Ton li jan lili wawa.	Tom is a strong kid.	
42060	open pi tenpo pimeja ni la ona li kama ala kama?	Will she come this evening?	她今晚會來嗎？
42061	ona li lape sama jan lili.	She's sleeping like a baby.	她像個嬰兒般得睡著。
42062	o toki ala e ni tawa ona: mi tawa.	Please don't tell him that I'm leaving.	拜託別跟他說我要走了。
42063	o toki ala e ni tawa ona: mi tawa.	Please don't tell him that I'm leaving.	拜託別跟他說我要走了。
42064	tomo sitelen ona li lon seme?	Where's his office?	他的辦公室在哪？
42065	mi sona wawa e ni: lipu ni li ike tawa ona.		我很確定她不會喜歡這本書。
42066	jan li toki sin tawa ona la tenpo ni li pana ala e pona.		都到了這地步，跟他爭論也沒有用。
42067	mi weka e ni: mi wile toki tawa ona kepeken ilo toki.	I forgot to phone him.	我忘了給他打電話。
42068	tenpo ni la ona li kama sin tan tomo telo.	She just came back from the restroom.	她剛從洗手間回來。
42069	ona li kama jo e lipu ni lon esun seme?	Where did he buy that book?	他在哪買了那本書？
42070	ona li kama jo e ni lon esun seme?	Where did she buy these things?	她去哪買了這些東西？
42071	ona li kama jo e ni lon esun seme?	Where did he buy these things?	他去哪買了這些東西？
42072	ona li kama jo e len luka ni lon esun seme?	Where did she buy those gloves?	她在哪買到那雙手套的？
42073	ona li tawa e lipu lon seme?	Where did she put the newspaper?	她把報紙放哪去了？
42074	ona li jan pi sike suno mute, li jan pi sijelo ike.	She is old and ill.	她又老又病。
42075	ona li jan pi sike suno mute, li jan pi sijelo ike.	She was very old and ill.	她又老又病。
42076	pilin ona la ona li kama jo e mani pi mute pona tan pali ona.		她還算滿意自己的薪資。
42077	mi ken ala wile e ni tan ona: ona li pali e ni.	I can't ask him to do that.	我不能叫他做那件事。
42078	mi kepeken nimi ike tawa sina.	I've offended you.	我冒犯到你了。
42079	jan sona taso li ken sona e ante pi ijo tu.	Only experts can tell them apart.	只有專家能區分出它們的不同。
42080	jan sona taso li ken sona e ante pi ijo tu.	Only an expert can tell them apart.	只有專家能區分出它們的不同。
42081	pali mi li ni: mi telo e ilo moku.	It's my job to wash up.	洗碗是我的工作。
42082	mi wile ala toki e ni.	I don't need to talk about it.	我不需要談論它。
42083	ona li lon seme?	Where is she?	
42084	mi sona e ni: jan Ton li ken pali e seme.	I know what Tom is capable of doing.	
42085	mi lukin e jan.	I see someone.	
42086	mi wile ala kama jo e ijo tan sina.	I want nothing from you.	我不想要您的东西。
42087	jan Ete li jo e nanpa lon luka ona.	Esther has a number on her arm.	
42088	tomo tawa li tawa kepeken wawa.	The car is powered by electricity.	
42089	ni li ken ala ken?	Can this be true?	
42090	sina wile ala wile e ni: jan li telo e ona?	Do you want to have it washed?	
42091	o pini e lape sina.	Wake up.	
42092	mi pilin e ni: mi wile lape.	I feel tired.	
42093	mi pilin pona.	I'm feeling good.	
42094	sina ken ala ken toki lon toki Sinan?	Do you speak Klingon?	
42095	sina ken ala ken toki lon toki Sinan?	Do you speak Klingon?	
42096	jan Ton li sona lukin.	Tom seemed clever.	
42097	ona li ken pana kiwen taso e mani ona.	He's a bit stingy.	
42098	mi moku ala e soweli.	I don't eat meat.	
42099	mi moku ala e soweli.	I don't eat meat.	
42100	tenpo ni la jan Mewi li sona e ale.	Mary knows everything now.	
42101	sin la sina sona toki lon toki Kanse anu seme?	Can you speak French, too?	
42102	mi pilin akesi tan ale.	I fear everything.	
42103	mi lawa.	I call the shots.	
42104	o awen open e lupa.	Keep the door open.	
42105	o pini ala e lupa.	Keep the door open.	
42106	moli mi li suli. moli sina li suli sama.	My blood is no redder than yours.	
42107	sina ike mute tawa jan Jesu.	Jesus hates you.	
42108	sina ike mute tawa jan Jesu.	Jesus hates you.	
42109	meli li kama.	The woman is coming.	
42110	sina toki ala toki tawa mi?	Are you talking to me?	
42111	ken suli la jan Ton li sona e ni: ona li pona tawa mi.	Tom probably knows I like him.	
42112	ona li lape lon tomo tawa.	She sleeps in the car.	
42113	o weka e len sina.	Take off your clothes!	
42114	o weka e len sina.	Take off your clothes.	
42115	o weka e len sina.	Take off your clothes.	
42116	o weka e len sina.	Take off your clothes.	
42117	tenpo ale la jan Mali li pona tawa jan.	Mary is always really friendly.	
42118	ala a! ala a! ni li lon ala.	No, no! That's not right.	
42119	mi olin e mama mi.	I love my parents.	
42120	tan seme? mi sona ala.	I don't know why.	
42121	tenpo suno pini la mi esun e lipu.	Yesterday, I bought a book.	
42122	mi kama sona e toki Alapi.	I'm learning Arabic.	
42123	sina moku ala tan seme?	Why aren't you eating?	你为什么不吃？
42124	tenpo pimeja la mun li kama.	The stars come out at night.	
42125	mi wile ala lukin sin e sina.	I never want to see you again.	
42126	"""jan olin o wawa! mi lukin e tomo Tatowepa. tomo ni li esun e toki tan mani Tento. ona li jo kin e ijo sama ni: sina kama jo e toki mute la sina kama jo kin e toki wan pi mani ala."" ""pakala! tenpo ni la jan li kama jo e toki tan musi! ma ali li kama pakala!"""	"""Honey, quick, quick. There's this website called Tatoeba that's auctioning its sentence collection for a cent each! They've even got special offers like buy 100 sentences and get 1 free!"" ""Ah great! now people collect sentences as a hobby?! What's the world coming to!"""	
42127	tenpo ni la supa moku li ale. sina ken kepeken e supa moku ni.	A table has just become available. You can take your seats there.	
42128	jan mute li ike tawa mi.	I don't like people.	
42129	o toki e ni tawa jan Ton: ona li ike tawa mi.	Tell Tom I don't like him.	
42130	mi lukin ala e ijo.	I didn't see anything.	我什麼都沒看見。
42131	mi o alasa e tan.	Let's find out why.	
42132	ona mute li lukin pali e ona.	They're trying.	
42133	mi ken lukin e sina.	I can see you.	
42134	mi lukin e sina.	I'm looking at you.	
42135	mi ken lukin e sina.	I see you.	
42136	mi ken lukin e sina.	I can see you.	
42137	jan Ton li kama tan tomo ona tawa ma awen pi tomo tawa kon la nasin ni li lili.	Tom lives near the airport.	
42138	ni li ken kama.	That can happen.	
42139	kulupu toki Kemani li pona mute tawa mi.	I'm crazy about Germanic languages.	
42140	jan moli li pana e pona tawa jan lon.	The dead are useful to the living.	
42141	mi jan pi ma Kanse.	I am French.	
42142	ni li laso ala anu seme?	Isn't that blue?	
42143	kili sike anu kili palisa li pona tawa sina?	Which do you like better, apples or bananas?	
42144	mi moku ala e soweli.	I don't eat meat.	
42145	mi moku ala e soweli.	I don't eat meat.	
42146	ona li kule ala e sinpin tomo. taso ona li pana e lipu sinpin lon ona.	He does not paint the walls, but wallpapers them.	
42147	mi wile awen sona e ni.	I have to make a note of that.	
42148	ken la sina pona tawa jan Ton.	Tom probably likes you.	
42149	jan Ton li pilin olin.	Tom fell in love.	
42150	jan Mali li alasa e kasi kule wawa lon ma kasi lili.	Mary gathered wildflowers in the meadow.	
42151	kulupu wan li pu anu seme?	Does the united community read the official Toki Pona book?	
42152	ni li kalama pona ala pona tawa kute?	Doesn't that sound nice?	
42153	jan Mewi li toki ala e ni: jan Ton li kama pona lon tenpo kulupu musi ona.	Tom wasn't invited to Mary's party.	
42154	jan Ton li nasa.	Tom is a jerk.	
42155	mi jan Lopin.	My name is Robin.	
42156	sina pilin e seme tan sitelen ni?	What do you think of this sentence?	
42157	jan o toki ala e ijo ike pi jan ante.	You should not speak ill of others.	
42158	toki! tomo jaki li lon seme?	Excuse me, where's the toilet?	
42159	ona li toki la mi lukin e ni: nena pi noka lawa ona li tawa.	I watched his Adam's apple move as he talked.	
42160	mi ken ala moku e telo mama.		我對牛奶過敏。
42161	jan Ton li lape lon supa lape mi.	Tom sleeps on my bed.	
42162	jan Ton li toki la ona li ken pona kepeken nimi.	Tom is well-spoken.	
42163	nasin seme la mi o pali e ni?	How are we supposed to do that?	
42164	ona li jan pi ma Elena anu seme?		他是希腊人吗？
42165	ona li moku e telo nasa tan ni: ona li wile weka e ijo tan lawa ona.	He drinks to forget.	
42166	ni li laso ala anu seme?	Isn't that blue?	
42167	mi wile sona.	I want to know.	
42168	mama sewi li pilin utala.	Zeus is angry.	
42169	mama sewi li pilin utala.	Zeus is angry.	
42170	jan Ton li wile mute kin e ni: ona li jan wan pi kulupu ni.	Tom was desperate to fit in.	
42171	mi sona e ni: mi mute li ken lon jan sewi.	I know we can win.	
42172	sina pana e pilin ike suli tawa mi.	They've hurt me a lot.	
42173	sina sona ala sona e ni: sina pakala e nasin lawa?	You know this is illegal, don't you?	你知道這是違法的，對吧？
42174	mi wile moku e ni.	I want to eat this.	
42175	toki suli li seme? ona li toki lili kepeken kulupu utala.	What is a language? It's a dialect with an army and a navy.	
42176	tomo ni li ijo pi jan seme?	Who owns that house?	
42177	sina pilin e ni tan seme: mi wile pali e ni?	What makes you think I want to do that?	
42178	ona li wile e jan ala.	She needs no one.	
42179	selo ma li lon ni!	That's the rub.	
42180	jan mute li lon tomo.	The room was filled with people.	
42181	mi wile kalama musi pi pona mute kepeken ilo palisa lupa.	I wish that I could play the clarinet better.	
42182	pilin mi la sina ken ala pali e ni.	I think that you'll not be able to do that.	
42183	mi sona ala e tan pi pilin ni: toki pi jan Ton li lon ala.	I have no reason to believe Tom is lying.	
42184	jan li ken lete e ko pi telo mama anu seme?	Is it OK to freeze cheese?	
42185	mi wile kama sona lawa e ilo tawa wawa.	I want to learn how to drive a tractor.	
42186	ona ni li lon pona nasa ala la ona ante li lon pona nasa.	One man's misfortune is another man's fortune.	
42187	lon tenpo ala.	Never.	
42188	lon tenpo ala.	Never.	
42189	tenpo suli la jan Ton li awen lon tomo kulupu toki.	Tom spends a lot of his time in meetings.	
42190	jan Ton li ken kepeken toki mute.	Tom speaks many languages.	
42191	lon tenpo ala.	Never.	
42192	lon tenpo ala.	Never.	
42193	ona li suli.		她个子很高。
42194	lon tenpo ala.	Never!	
42195	lon tenpo ala.	Never.	
42196	lon tenpo ala.	Never.	
42197	lon tenpo ala.	Never.	
42198	lon tenpo ala.	Never.	
42199	lon tenpo ala.	Never.	
42200	mama mije pi jan Ton li pakala e ona kepeken palisa.	Tom's father beat him with a stick.	
42201	mi pali e ni lon tenpo ni, la mi wile ala pali e ni lon tenpo suno kama.	If we do that now, we won't have to do it tomorrow.	
42202	nasin seme la kon tawa li kama?	Where does wind come from?	
42203	ona li mije ala li meli ala.	They are neither a man nor a woman.	
42204	o tawa tomo sona!	Go to school.	
42205	mi poka jan Ton li tawa ala ma Oselija.	I didn't go to Australia with Tom.	
42206	lon tenpo ala.	Never.	
42207	jan Mewi li toki e ni: jan Ton li uta e ona.	Mary said Tom kissed her.	
42208	jan Ton kin li sona ala e lon.	Not even Tom knows the truth.	
42209	mi pilin e ni: jan Ton li jo ala e tomo tawa.	I thought that Tom didn't have a car.	
42210	mi pona e tomo tan ona la ni li ike mute tawa mi!	I'm fed up to the back teeth with always having to clear up behind you lot!	
42211	mi wile ala e ni: jan Ton li nasa e mi.	I didn't want Tom to bother me.	
42212	jan ala li pilin e kama ni: sike kon li kama pakala.	The balloon popped unexpectedly.	
42213	tenpo pi lili nasa la sike kon li kama pakala.	The balloon popped unexpectedly.	
42214	ilo sona li kepeken nanpa.	Computers make calculations.	
42215	mi mute li pana e tomo lon esun.	We're selling the house.	
42216	jan Mawi li kepeken e len ni la ona li pona lukin mute kin.	Mary was dressed to kill.	
42217	mi jan ala, la mi pana ala e ni tawa lukin: mi jan ni.	I won't pretend to be someone that I'm not.	
42218	tenpo seme la suno li kama open?	What time is sunrise?	
42219	mi wile e utala ala.	I want peace.	
42220	mi wile e utala ala.	I want peace.	
42221	mi wile e utala ala.	I want peace.	
42222	mi wile e utala ala.	I want peace.	
42223	ken la ona li pakala.	It appears to be broken.	
42224	mi mute li lon kulupu.	We live in a society.	
42225	sina lukin e mije mute ni la sina sona ala sona sin e ona mute?	Do you recognize these men?	
42226	ale lili pi ko lete li kama telo.	The snow has mostly melted.	
42227	mi tawa esun.	I go to the market.	
42228	o luka ala e nena ni.	Do not push that button.	
42229	sina jelo.	You're yellow.	
42230	sina wile e ni: ona li pana e pona tawa sina.	You guys need his help.	
42231	mi toki suli e ni: mi en jan Ton tawa ma tomo Posen.	I've promised to go to Boston with Tom.	
42232	ona li pona lukin.	It's beautiful.	
42233	tomo tawa sina li ike tawa mi.	I don't like your car.	
42234	o pana e tenpo lili tawa mi.	Give me a sec.	
42235	sina wile lon insa pi tomo tawa, linja la o lupa e lipu wawa sina.	You must validate your ticket before boarding the train.	
42236	mi sona ala e ni.	I did not know this.	
42237	mi pilin e ni: sina kama sewi utala.	I believe that you'll win.	
42238	jan Ton li nasa.	Tom is insane.	
42239	jan Ton li pali e ale tawa jan lili ona.	Tom did everything for his children.	
42240	tenpo mute ala la mi kepeken len lawa.	I don't often wear a hat.	
42241	mi ken ala pilin e ni: ona li pali e ike ni tawa mi.	I can't believe he did this to me.	
